Nachname,Vorname,Antwort 8,Antwort 9
Name_460,VName_460,"#include <stdio.h>

void factorize(long product, long *factor1, long *factor2)
{
  if(product==0||product==1){
    *factor1=1;
    *factor2=product;
  } else{
    int a=0;
    for(long int h=product/2;(h>0)&&(a==0);h--){
      if(product%h==0){
        *factor1=h;
        *factor2=product/h;
        a=1;
      }
    }

  }
}

int main(){
  long int factor1;
  long int factor2;
  long int product;
	printf(""Please enter an Integer: "");
  scanf(""%ld"",&product);
  factorize(product,&factor1,&factor2);
	printf(""Possible Factors of %lu are %lu and %lu.\n"",product,factor1,factor2);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
 
void ersetzen(char* dest, int zahl, char* src)
{  
  for (int i = 0; (i<zahl)&&(dest[i]!=0)&&(src[i]!=0); i++)
  {
    dest[i]=src[i];
  }
  
}

void umdrehen( char* str )
{
  int l;
  char puffer;
  for (l = 0; str[l]!=0; l++){}
  for (int i=0; i<l/2; i++){
    puffer=str[i];
    str[i]=str[l-i-1];
    str[l-i-1]=puffer;
  }
  
}

int main( int argc, char* argv[] )
{  
  char test[11]= ""0123456789"";
  printf( ""Das Original ist: %s \n"", test );
  ersetzen( test , atoi(argv[1]), argv[2] );
  printf( ""Ersetzt : %s \n"", test );
  umdrehen( test );
  printf( ""Rückwärts : %s \n"", test );
}"
Name_442,VName_442,"#include <stdio.h>

void factorize(long resultat, long *nummer1, long *nummer2)
{
    if(resultat == 0){
        *nummer1 = 1;
        *nummer2 = 0;
        return;
    }
    else if(resultat == 1){
        *nummer1 = 1;
        *nummer2 = 1;
        return;
    }
    *nummer1 = resultat / 2;
    while (resultat % *nummer1){
        *nummer1 -= 1;
    }
    *nummer2 = resultat / *nummer1;
}

int main(){
    printf(""Please enter an Integer: "");
    long resultat;
    scanf(""%ld"", &resultat);
    long nummer1, nummer2;
    factorize(resultat, &nummer1, &nummer2);
    printf(""Possible Factors of %ld are %ld and %ld.\n"", resultat, nummer1, nummer2);
    return 0;
}","#include <stdio.h>
#include <stdlib.h>

void ersetzen(char* dest, int zahl, char* src)
{
    int i = 0;
    while ((i < zahl) && (dest[i] != '\0') && (src[i] != '\0')){
        dest[i] = src[i];
        i++;
    }
}

void umdrehen( char* str )
{
    int i = 0;
    int len = 0;
    while(str[i] != '\0'){
        len += 1;
        i += 1;
    }
    int left = 0;
    int right = len - 1;
    while (left < right){
        char temp = str[left];
        str[left] = str[right];
        str[right] = temp;
        left++;
        right--;
    }
}

int main( int argc, char* argv[] )
{
    char test[11]= ""0123456789"";
    printf( ""Das Original ist: %s \n"", test );
    ersetzen( test , atoi(argv[1]), argv[2] );
    printf( ""Ersetzt : %s \n"", test );
    umdrehen( test );
    printf( ""Rückwärts : %s \n"", test);
}"
Name_432,VName_432,"#include<stdio.h>
#include<limits.h>
#include<string.h>

void factorize(long resultat, long *nummer1, long *nummer2){
	switch(resultat){
		case 0:
		case 1:
			*nummer1 = 1;
			*nummer2 = resultat;
			break;
		default:
			*nummer2 = 2;
			*nummer1 = resultat/2;
			long int temp = *nummer1;
			
			while ((*nummer2 * *nummer1 != resultat) && (*nummer2 < resultat)){
				*nummer2 = *nummer2+1;
				while((*nummer2 * temp != resultat) && temp > 2){
					temp--;
					if(*nummer2 * temp == resultat){
						*nummer1 = temp;
					}
				}
				if(*nummer2 == resultat){
					*nummer1 = 1;
				}
			}
			break;
	}
}

int main(){
	long resultat = 1, nummer1, nummer2;
	printf(""Please enter an Integer: "");
	scanf(""%lld"",&resultat);
	factorize(resultat, &nummer1, &nummer2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", resultat, nummer1, nummer2);
	return 0;
	
	// long resultat = 66, nummer1, nummer2;
	// factorize(resultat, &nummer1, &nummer2);
	// printf(""resultat = %li; nummer1 = %li; nummer2 = %li\n"", resultat, nummer1, nummer2);
}","//gcc -x c HA09_F09.c -o HA09_F09 -Wall -Wextra -pedantic
/*
	Schreiben Sie eine Funktion void ersetzen(char* dest, int zahl, char* src)die den String src in den String dest kopiert (und dabei überschreibt), allerdings 
		nur maximal zahl Zeichen
		nur maximal bis zum Ende von dest
		nur maximal den gesamten String src
	Schreiben Sie eine Funktion void umdrehen( char* str ), die die übergebene Zeichenkette umdreht. Die Größe eines Strings ist variable, also müsst ihr diese zuerst ermitteln
	Legen Sie in main eine Testzeichenkette mit dem Inhalt ""0123456789"" an. Geben Sie diese auf der Konsole aus. Das Programm soll mit zwei Kommandozeilenparametern aufgerufen werden: die maximale Anzahl zu ersetzender Zeichen des Teststrings sowie der String, mit dem der Teststring überschrieben werden soll. Führt dementsprechend die Funktion ersetzen aus, gebt das Ergebnis aus, danach dann umdrehen, und gebt das Ergebnis erneut aus.
	Verwenden Sie keine Funktionen aus string.h !  Sonst gibt es keine Punkte auf die Aufgabe. Freiwillige Recherche (ohne Punkte): Welche Funktionen aus string.h wären hier nützlich gewesen und warum?
*/
#include<stdio.h>
#include<limits.h>
#include <stdlib.h>

int fnLength(char* cInput){
	int intLength = 0;
	
	while(cInput[intLength] != '\0') intLength++;
	
	return(intLength);
}

void ersetzen(char* dest, int zahl, char* src){
	int		i,
			intLength		= fnLength(dest),
			intLengthSRC	= fnLength(src);
	
	// printf(""Length of test string:\t%d\n"", intLength);
	// printf(""sizeof dest:\t%d\n"", sizeof(dest));
	// printf(""sizeof *dest:\t%d\n"", sizeof(*dest));
	// printf(""fnLength of dest:\t%d\n"", fnLength(dest));
	// printf(""Overwrite first (zahl) %d characters:\n"", zahl);
	for (i=0; i<intLength; i++){
		// printf(""dest[%d] == \'%c\'\n"", i, dest[i]);
		if((i<zahl) && (i < intLengthSRC)){
			dest[i] = src[i];
			// printf(""\tdest[%d] := \'%c\'\n"", i, dest[i]);
		}else{
			// % - no alteration
		}
	}
}

void umdrehen(char* str){
	// pprMachtSp
	
	int		i,
			intLength		= fnLength(str);
	char	c;
	
	// printf(""umdrehen: length:\t%d\n"", intLength);
	
	for (i=0;i<=(intLength-1)/2;i++){
		// printf(""i: %d"", i);
		// printf(""\tstr[i]: %c"", str[i]);
		// printf(""\tintLength-i-1: %d"", (intLength-i-1));
		// printf(""\tstr[intLength-i-1]: %c"", str[intLength-i-1]);
		// printf(""\n"");
		
		c = str[i];
		str[i] = str[intLength-i-1];
		str[intLength-i-1] = c;
	}
}

int main(int argc1, char* argv1[]){
	char test[11]= ""0123456789"";
	
	printf( ""Das Original ist: %s \n"", test);
	
	ersetzen(test , atoi(argv1[1]), argv1[2]);
	
	printf(""Ersetzt : %s \n"", test);
	
	umdrehen( test );
	
	printf( ""Rückwärts : %s \n"", test );
	
	return 0;
}

// void main(){
	// printf(""\nTest 1:\n"");
	// char* str[] = {""./[programm]"", ""40"", ""pprMachtSpassss""};
	// fnMain(2, str);
	
	// printf(""\nTest 2 Robin:\n"");
	// char str1[6] = ""Robin"";
	// printf(""%s\n"", str1);
	// umdrehen(str1);
	// printf(""%s\n"", str1);
	
	// printf(""\n\nTests 3 [0 2 3 4] \""ppr\"":\n"");
	// char* str3[] = {""./[programm]"", ""40"", ""ppr""};
	// fnMain(0, str3);
	// fnMain(2, str3);
	// fnMain(3, str3);
	// fnMain(4, str3);
	
	// printf(""\n\nTests 4 40\""pprMachtSpass\"":\n"");
	// char* str4[] = {""./[programm]"", ""40"", ""pprMachtSpass""};
	// fnMain(40, str4);
// }"
Name_434,VName_434,"#include <stdio.h>

void factorize(long ergebnis, long *zahl1, long *zahl2)
{
	if (ergebnis == 0 || ergebnis == 1) {
        *zahl1 = 1;
        *zahl2 = ergebnis;
    } else {
        long prod = ergebnis / 2;
        if (ergebnis % 2 != 0) {
            do {
                prod -= 1;
            } while (ergebnis % prod != 0);
        }
        *zahl1 = prod;
        *zahl2 = ergebnis / prod;
    }
}

int main(){
	printf(""Please enter an Integer: "");
    long ergebnis, zahl1, zahl2;
    scanf(""%ld"", &ergebnis);
    factorize(ergebnis, &zahl1, &zahl2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", ergebnis, zahl1, zahl2);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
#include <string.h>
 
int chooseMinOfTwo( int a, int b )
{
    if (a > b) return b;
    else return a;
}

int chooseMinOfThree( int a, int b, int c)
{
    int tmp = chooseMinOfTwo(a, b);
    return chooseMinOfTwo(tmp, c);
}

void ersetzen( char* dest, int zahl, char* src )
{  
    int len = chooseMinOfThree(strlen(dest), zahl, strlen(src));
    for (int i = 0; i < len; i++) {
        *dest = *src;
        dest++;
        src++;
    }
}

void umdrehen( char* str )
{
    int len = strlen(str);
    char tmp[len + 1];
    for (int i = 0; i < len; i++) {
        tmp[len - i - 1] = str[i];
    }
    for (int i = 0; i < len; i++) {
        str[i] = tmp[i];
    }
}

int main( int argc, char* argv[] )
{  
    char test[11]= ""0123456789"";
    printf( ""Das Original ist: %s \n"", test );
    ersetzen( test , atoi(argv[1]), argv[2] );
    printf( ""Ersetzt : %s \n"", test );
    umdrehen( test );
    printf( ""Rückwärts : %s \n"", test );
}"
Name_441,VName_441,"#include <stdio.h>
long factorize(long produkt, long *faktor1, long *faktor2)
{
    for (long i = 1; i<produkt; ++i){
    if(produkt % i == 0){
    *faktor1 = i;
    *faktor2 = (produkt / i);
}}
}

int main(){
    printf(""Please enter an Integer: "");
    long num;
    long faktor1 = 1;
    long faktor2 = 0;
    scanf(""%ld"", &num);
    factorize(num, &faktor1, &faktor2);
    printf(""Possible Factors of %li are %li and %li.\n"",num , faktor1, faktor2);
    return 0;
}","#include <stdio.h>
#include <stdlib.h>
 
void ersetzen(char* dest, int zahl, char* src)
{  
  dest = src;
}

void umdrehen( char* str )
{
  for(int length=0; str[length] != '\0';length++){
for (int i = 0; i < length/2; i++){
char temp = str[i];
str[i] = str[length-i];
str[length-i] = temp;
temp--;
}
}
}

int main( int argc, char* argv[] )
{  
  char test[11]= ""0123456789"";
  printf( ""Das Original ist: %s \n"", test );
  ersetzen( test , atoi(argv[1]), argv[2] );
  printf( ""Ersetzt : %s \n"", test );
  umdrehen( test );
  printf( ""Rückwärts : %s \n"", test );
}"
Name_436,VName_436,"#include <stdio.h>

void factorize(long result, long *number1, long *number2){
	if(result == 0){
	    *number1 = 1;
	    *number2 = 0;
	}
	
	if(result == 1){
        *number1 = 1;
        *number2 = 1;
    }
	
	for(int i = 2; *number1 * *number2 != result; i++){
	    *number2 = i;
	    *number1 = result/(*number2);
	}

}

int main(){
	long result = 0;
	long number1 = 0;
	long number2 = 0;
	printf(""Please enter an Integer: "");
	scanf(""%ld"",&result);
	factorize(result, &number1, &number2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", result, number1, number2);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
 
void ersetzen(char* dest, int zahl, char* src){  
    for (int i = 0; i <=zahl && dest[i] != '\0'; i++){
        dest[i] = src[i];
    }
}

void umdrehen( char* str ){
    int z = 0;
    for(int i = 1; str[i] != '\0'; i++){
        z = i;
    }
    char tmp[z];
    for(int i = 0; str[i] != '\0'; i++){
        tmp[i] = str[z-i];
    }
    for(int i = 0; str[i] != '\0'; i++){
        str[i]=tmp[i];
    }
}

int main( int argc, char* argv[] ){  
  char test[11]= ""0123456789"";
  printf( ""Das Original ist: %s \n"", test );
  ersetzen( test , atoi(argv[1]), argv[2] );
  printf( ""Ersetzt : %s \n"", test );
  umdrehen( test );
  printf( ""Rückwärts : %s \n"", test );
}"
Name_76,VName_76,"#include <stdio.h>




void factorize(long product, long *factor1, long *factor2)
{
	
switch (product)
	{
		case 0 : *factor1 = 1; *factor2 = product; break;
		case 1 : *factor1 = 1; *factor2 = product; break;
		
		default : 

		if ( !(product % (product / 2))) { *factor1 = (product / 2); *factor2 = 2; break;}
		long zaehler = ((product - 1)/2);
		for (long try = zaehler; try > 0 ; try--)
		{

		if ( !(product%try)) 	{ *factor1 = try; *factor2 = product / try; break; } 
		
		} // Ende for -Schleife mit try als Zaehler
		
		 // Ende von default
	} // Ende von switch (product)

}

int main(){

	long product = 0;
	long factor1 = 0;
	long factor2 = 0;

	long* p_factor1 = &factor1;
	long* p_factor2 = &factor2;

	printf(""Please enter an Integer: "");
	scanf(""%ld"", &product);
	factorize(product, p_factor1, p_factor2);
	

	printf(""Possible Factors of %ld are %ld and %ld.\n"",product, factor1, factor2 );
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
 
void ersetzen(char* dest, int zahl, char* src)
{  
  
}

void umdrehen( char* str )
{
 for (int n = 0; n < 11; n++){} 
}

int main( int argc, char* argv[] )
{  
  char test[11]= ""0123456789"";
  printf( ""Das Original ist: %s \n"", test );
  ersetzen( test , atoi(argv[1]), argv[2] );
  printf( ""Ersetzt : %s \n"", test );
  umdrehen( test );
  printf( ""Rückwärts : %s \n"", test );

    
}"
Name_439,VName_439,"#include <stdio.h>
void factorize(long ergebnis, long *zahl1, long *zahl2)
{
long f1,f2;
//printf(""%ld\n"", ergebnis);
if((ergebnis == 0)||(ergebnis == 1))
{
f1 = 1;
f2 = ergebnis;
}
else
{
f1 = ergebnis/2;
while(ergebnis%f1 != 0 )
{
//printf(""f1 passt noch nicht : %i\n"",f1);
f1 = f1- 1;
}
f2 = ergebnis/f1;
}
//printf(""faktoren: %ld, %ld \n"",f1,f2);
*zahl1 = f1;
*zahl2 = f2;
}
int main(){
long eingabe;
printf(""Please enter an Integer: "");
scanf(""%ld"",&eingabe);
long z1,z2;
factorize(eingabe,&z1,&z2);
printf(""Possible Factors of %ld are %ld and %ld.\n"",eingabe,z1,z2);
return 0;
}","#include <stdio.h>
#include <stdlib.h>
 
void ersetzen(char* dest, int zahl, char* src)
{  
  
}

void umdrehen( char* str )
{
  
}

int main( int argc, char* argv[] )
{  
  char test[11]= ""0123456789"";
  printf( ""Das Original ist: %s \n"", test );
  ersetzen( test , atoi(argv[1]), argv[2] );
  printf( ""Ersetzt : %s \n"", test );
  umdrehen( test );
  printf( ""Rückwärts : %s \n"", test );
}"
Name_447,VName_447,"#include <stdio.h>
#include <stdlib.h>

void factorize(long ergebnis, long* zahl1, long* zahl2)
{
if(ergebnis == 0) {
        *zahl1 = 1;
        *zahl2 = ergebnis;
    } else if(ergebnis == 1) {
        *zahl1 = 1;
        *zahl2 = ergebnis;
    } else {
        for(int i = ergebnis/2; i > 0;i--) {
            if(ergebnis%i != 0) {
                continue;
            } else {
                *zahl1 = i;
                *zahl2 = ergebnis/i;
                break;
            }
        }
    }
}

int main(){
    long ergebnis = 0;
    long* zahl1;
    long* zahl2;
    zahl1 = (long*) malloc(sizeof(long));
    zahl2 = (long*) malloc(sizeof(long));

    printf(""Please enter an Integer: "");
    scanf(""%ld"", &ergebnis);
    factorize(ergebnis,zahl1,zahl2);
    printf(""Possible Factors of %ld are %ld and %ld.\n"",ergebnis, *zahl1, *zahl2);

    return 0;
}","#include <stdio.h>
#include <stdlib.h>

int getStringLength(char x[]) {
    int i = 0;
    while(x[i] != NULL) {
        i++;
    }
    return i;
}

void ersetzen(char* dest, int zahl, char* src)
{
    for (int i = 0; i < zahl && i < getStringLength(src) && i < 10; ++i) {
        dest[i] = src[i];
    }
}

void umdrehen( char* str )
{
    int z = getStringLength(str);
    char x[z];
    for (int i = 0; i < z; ++i) {
        x[i] = str[i];
    }
    for (int i = z-1; i >= 0; --i) {
        str[(z-1)-i]=x[i];
    }

}

int main( int argc, char* argv[] )
{
    char test[11]= ""0123456789"";
    printf( ""Das Original ist: %s \n"", test );
    ersetzen( test , atoi(argv[1]), argv[2] );
    printf( ""Ersetzt : %s \n"", test );
    umdrehen(test);
    printf( ""Rückwärts : %s \n"", test );
}"
Name_91,VName_91,"#include <stdio.h>

void factorize(long ergebnis, long *zahl1, long *zahl2){
    long tmp= ergebnis;
    if(ergebnis == 0){
        *zahl1 = 1;
        *zahl2 = ergebnis;
    }
    else if(ergebnis == 1){
        *zahl1 = 1;
        *zahl2 = ergebnis;
    }
    else{
        tmp = ergebnis/2;
        while(ergebnis % tmp != 0){
            tmp = tmp - 1;
        }
        *zahl1 = tmp;
        *zahl2 = ergebnis/tmp;
    }
}

int main(){
	long ergebnis;
    long zahl1;
    long zahl2;
    long* p1 = &zahl1;
    long* p2 = &zahl2;
    printf(""Please enter an Integer: "");
    scanf(""%ld"", &ergebnis);
    factorize(ergebnis, p1, p2);
	printf(""Possible Factors of %ld are %ld and %ld.\n"", ergebnis, zahl1, zahl2);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
#include <string.h>
 
void ersetzen(char* dest, int zahl, char* src){  
    int max = 0;
    int laengedest = strlen(dest);
    int laengesrc = strlen(src);
    if (zahl > laengedest){
        if (zahl > laengesrc) max = zahl;
        else if(zahl < laengesrc) max = laengesrc;
    }
    else if (laengedest > zahl){
        if (laengedest > laengesrc) max = laengedest;
        else if (laengedest < laengesrc) max = laengesrc;
    }

    for(int i = 0; i < max; i++){
        dest[i] = src[i];
    }
}

void umdrehen( char* str ){
    int laenge = strlen(str);
    for (int i = 0; i < laenge/2; i++){
        int tmp = str[i];
        str[i] = str[laenge - i -1];
        str[laenge - i - 1] = tmp;
    }
}

int main( int argc, char* argv[] ){  
  char test[11]= ""0123456789"";
  printf( ""Das Original ist: %s \n"", test );
  ersetzen( test , atoi(argv[1]), argv[2] );
  printf( ""Ersetzt : %s \n"", test );
  umdrehen( test );
  printf( ""Rückwärts : %s \n"", test );
}"
